特征,系数(标准化),abs(系数)
Z_any_high,2.430589825693256,2.430589825693256
Z_max,0.7528119506629927,0.7528119506629927
Z_18_abs,0.2879205086693472,0.2879205086693472
Z_sum,0.2604213404994225,0.2604213404994225
Z_mean,0.2604213404994224,0.2604213404994224
Z_13_abs,0.20604745720178913,0.20604745720178913
18号染色体的Z值,0.164880645809955,0.164880645809955
21号染色体的Z值,-0.16332168698337596,0.16332168698337596
在参考基因组上比对的比例,-0.13972295584026748,0.13972295584026748
重复读段的比例,-0.10608129963966577,0.10608129963966577
X染色体的Z值,0.10003247049611574,0.10003247049611574
被过滤掉读段数的比例,-0.08389051398312851,0.08389051398312851
身高,-0.07645822245488183,0.07645822245488183
唯一比对的读段数,-0.06909587606450436,0.06909587606450436
原始读段数,-0.06158802066054596,0.06158802066054596
GC含量,-0.05774555433678906,0.05774555433678906
18号染色体的GC含量,0.05483620023033685,0.05483620023033685
21号染色体的GC含量,0.04852881692838368,0.04852881692838368
年龄,-0.04394901209957222,0.04394901209957222
13号染色体的Z值,-0.039846020234048124,0.039846020234048124
Z_X_abs,0.03675663072574636,0.03675663072574636
孕妇BMI,0.026158731071656314,0.026158731071656314
Z_21_abs,-0.026014059212838055,0.026014059212838055
13号染色体的GC含量,-0.012841717104114199,0.012841717104114199
体重,-0.011568949428250855,0.011568949428250855
IVF_数值,0.0,0.0
