特征,重要性
Z_max,0.3057651991747217
Z_any_high,0.22591474682850965
Z_sum,0.1116080151179773
Z_mean,0.10153324944690904
Z_18_abs,0.08575883175324572
18号染色体的Z值,0.04855354994906052
Z_13_abs,0.043501061077211044
13号染色体的Z值,0.02875355903486701
X染色体的Z值,0.009654281812321572
唯一比对的读段数,0.009045760808995256
Z_X_abs,0.0053756842961658865
原始读段数,0.0051007957517365445
Z_21_abs,0.003996389217432642
在参考基因组上比对的比例,0.0037468018889362147
21号染色体的Z值,0.0029975985651750662
GC含量,0.0021321042784749624
重复读段的比例,0.0013246846024456873
被过滤掉读段数的比例,0.001166500172014886
18号染色体的GC含量,0.0009246825266260855
孕妇BMI,0.000733133996346675
21号染色体的GC含量,0.0005889972215312144
13号染色体的GC含量,0.0005011557793505714
体重,0.0004843384714457546
身高,0.00044039326788150856
年龄,0.00039848496061746145
IVF_数值,0.0
